Bezeichnung,Kanton,Jahr,Wert,Bemerkungen,Vergleichbar_Vorjahre,Vergleichbar_AndereKantone
Art. 307.3 Weisung/Ermahnung,AI,2022,20,NA,TRUE,TRUE
Art. 307.3 Weisung/Ermahnung,AR,2022,51,NA,TRUE,TRUE
Art. 307.3 Weisung/Ermahnung,BE,2022,965,NA,TRUE,TRUE
Art. 307.3 Weisung/Ermahnung,BL,2022,313,NA,TRUE,TRUE
Art. 307.3 Weisung/Ermahnung,BS,2022,111,NA,TRUE,TRUE
Art. 307.3 Weisung/Ermahnung,FR,2022,104,NA,TRUE,TRUE
Art. 307.3 Weisung/Ermahnung,GE,2022,0,NA,TRUE,TRUE
Art. 307.3 Weisung/Ermahnung,GL,2022,20,NA,TRUE,TRUE
Art. 307.3 Weisung/Ermahnung,GR,2022,87,NA,TRUE,TRUE
Art. 307.3 Weisung/Ermahnung,JU,2022,50,NA,TRUE,TRUE
Art. 307.3 Weisung/Ermahnung,LU,2022,176,NA,TRUE,TRUE
Art. 307.3 Weisung/Ermahnung,NE,2022,0,NA,TRUE,TRUE
Art. 307.3 Weisung/Ermahnung,NW,2022,10,NA,TRUE,TRUE
Art. 307.3 Weisung/Ermahnung,OW,2022,32,NA,TRUE,TRUE
Art. 307.3 Weisung/Ermahnung,SG,2022,456,NA,TRUE,TRUE
Art. 307.3 Weisung/Ermahnung,SH,2022,29,NA,TRUE,TRUE
Art. 307.3 Weisung/Ermahnung,SO,2022,251,NA,TRUE,TRUE
Art. 307.3 Weisung/Ermahnung,SZ,2022,71,NA,TRUE,TRUE
Art. 307.3 Weisung/Ermahnung,TG,2022,166,NA,TRUE,TRUE
Art. 307.3 Weisung/Ermahnung,TI,2022,44,"TI: Eigene Erhebung, ohne Mehrfachnennungen",TRUE,FALSE
Art. 307.3 Weisung/Ermahnung,UR,2022,26,NA,TRUE,TRUE
Art. 307.3 Weisung/Ermahnung,VD,2022,555,NA,TRUE,TRUE
Art. 307.3 Weisung/Ermahnung,VS,2022,75,"VS: Von den 19 KESB im Kanton Wallis konnten nur 11 KESB die Daten für das Jahr 2022 liefern. Die Massnahmenzahlen des Kantons – als Total («Kinder») für 2022 wurden anhand der 11 KESB mit Massnahmenzahlen 2022, im Verhältnis zu den Massnahmenzahlen 2021, hochgerechnet.",TRUE,TRUE
Art. 307.3 Weisung/Ermahnung,ZG,2022,21,NA,TRUE,TRUE
Art. 307.3 Weisung/Ermahnung,ZH,2022,600,NA,TRUE,TRUE
Art. 307.3 Person/Stelle mit Einblick,AG,2022,442,NA,TRUE,TRUE
Art. 307.3 Person/Stelle mit Einblick,AI,2022,5,NA,TRUE,TRUE
Art. 307.3 Person/Stelle mit Einblick,AR,2022,3,NA,TRUE,TRUE
Art. 307.3 Person/Stelle mit Einblick,BE,2022,130,NA,TRUE,TRUE
Art. 307.3 Person/Stelle mit Einblick,BL,2022,108,NA,TRUE,TRUE
Art. 307.3 Person/Stelle mit Einblick,BS,2022,17,NA,TRUE,TRUE
Art. 307.3 Person/Stelle mit Einblick,FR,2022,137,NA,TRUE,TRUE
